precio,barrio,distrito,superficie,habitaciones,banos,tiene_ascensor,tiene_terraza,estado,ratio_metros_zona,ratio_hab_zona
497183.0,18,7,65.0,2,1,1,0,1,0.7348828605316706,0.6479575927658248
441966.0,3,4,125.0,5,2,0,0,1,1.3950861963971344,1.6020343293070565
537876.0,6,1,103.0,4,2,0,1,1,1.1562604303420039,1.2882221512926906
262250.0,8,4,96.0,3,1,1,1,1,1.0714261988329992,0.961220597584234
476576.0,38,5,100.0,4,2,1,1,1,1.1259277137512822,1.2985386221294364
136172.0,11,3,77.0,3,1,1,1,1,0.8641812541546643,0.9656816015252621
317694.0,9,8,84.0,3,1,0,0,3,0.9243879697291671,0.9491895261845387
198013.0,35,4,68.0,2,1,0,0,3,0.7589268908400412,0.6408137317228226
369906.0,3,4,116.0,4,2,0,0,1,1.2946399902565409,1.2816274634456453
416156.0,39,2,63.0,2,1,1,1,0,0.6965354556377386,0.6334070097884433
350938.0,38,5,76.0,3,1,1,1,1,0.8557050624509746,0.9739039665970773
154356.0,6,1,25.0,1,1,0,0,0,0.2806457355199039,0.32205553782317264
321807.0,40,4,103.0,4,2,1,0,0,1.1495510258312387,1.2816274634456453
47657.0,30,9,25.0,1,1,0,0,3,0.26964272339150624,0.3072234074977141
132735.0,27,0,53.0,2,1,1,0,1,0.5854501507844179,0.6344469672397016
103542.0,34,0,48.0,1,1,0,0,0,0.530219004484001,0.3172234836198508
478449.0,3,4,124.0,4,2,1,1,1,1.3839255068259573,1.2816274634456453
611192.0,23,1,108.0,4,2,1,1,2,1.2123895774459847,1.2882221512926906
88275.0,11,3,61.0,2,1,1,1,0,0.6846111234212275,0.6437877343501748
142917.0,23,1,32.0,1,1,1,0,1,0.35922654146547695,0.32205553782317264
242347.0,34,0,91.0,3,1,0,0,0,1.0052068626675854,0.9516704508595524
297962.0,34,0,125.0,5,2,1,0,1,1.3807786575104195,1.5861174180992539
745536.0,32,7,99.0,3,1,1,0,3,1.1192831260405445,0.9719363891487371
821012.0,14,6,120.0,4,2,1,0,0,1.3140471285514415,1.2514951211835066
94573.0,27,0,45.0,1,1,0,0,1,0.49708031670375097,0.3172234836198508
282968.0,7,0,133.0,5,2,0,0,0,1.4691484915910862,1.5861174180992539
150826.0,3,4,44.0,1,1,1,0,1,0.4910703411317913,0.3204068658614113
348937.0,25,1,83.0,3,1,1,0,3,0.9317438419260808,0.9661666134695179
144208.0,31,5,33.0,1,1,1,0,1,0.37155614553792315,0.3246346555323591
240228.0,27,0,121.0,4,2,0,1,1,1.336593740470086,1.2688939344794032
71701.0,36,3,47.0,1,1,0,1,1,0.5274872590294704,0.3218938671750874
568348.0,38,5,124.0,4,2,1,1,1,1.39615036505159,1.2985386221294364
320804.0,35,4,119.0,4,2,1,1,0,1.328122058970072,1.2816274634456453
148538.0,8,4,53.0,2,1,1,1,1,0.591516547272385,0.6408137317228226
135591.0,12,9,73.0,2,1,1,1,0,0.7873567523031983,0.6144468149954282
264826.0,12,9,160.0,6,3,0,0,0,1.7257134297056402,1.8433404449862845
165443.0,39,2,25.0,1,1,1,1,2,0.2764029585864042,0.31670350489422167
567794.0,39,2,95.0,3,1,1,0,1,1.050331242628336,0.9501105146826649
669945.0,26,6,129.0,5,2,1,0,2,1.4126006631927996,1.5643689014793831
802753.0,25,1,137.0,5,2,1,0,0,1.5379386306490732,1.6102776891158632
315097.0,2,8,90.0,3,1,1,1,3,0.9904156818526791,0.9491895261845387
534835.0,37,1,111.0,4,2,1,1,2,1.2460670657083732,1.2882221512926906
468554.0,3,4,119.0,4,2,1,1,0,1.328122058970072,1.2816274634456453
441526.0,3,4,139.0,5,2,1,0,3,1.5513358503936134,1.6020343293070565
832436.0,26,6,122.0,4,2,1,1,1,1.3359479140272987,1.2514951211835066
487179.0,37,1,111.0,4,2,1,0,3,1.2460670657083732,1.2882221512926906
284156.0,34,0,109.0,4,2,1,1,1,1.2040389893490857,1.2688939344794032
454231.0,26,6,86.0,3,1,1,0,0,0.9417337754618663,0.9386213408876298
794877.0,22,1,141.0,5,2,0,0,1,1.5828419483322578,1.6102776891158632
241525.0,17,3,121.0,4,2,1,1,0,1.3579991136716154,1.2875754687003496
288955.0,22,1,57.0,2,1,0,0,0,0.6398722769853809,0.6441110756463453
420837.0,3,4,114.0,4,2,1,1,3,1.2723186111141866,1.2816274634456453
